No.          CODIGO        DURACION
01)         55001          00:03:45
02)         90311          00:03:12
03)         92110          00:02:54
04)         66721          00:02:59
05)         77821          00:04:05
06)         88001          00:03:31
07)         88002          00:03:12
08)         88003          00:03:01
09)         77001          00:03:14
10)         77002          00:03:09
11)         77003          00:03:32
12)         99001          00:03:04
13)         99002          00:03:04
14)         77010          00:03:13
15)         77011          00:03:20
16)         77012          00:03:18
17)         77013          00:03:03
18)         65001          00:03:04
19)         65002          00:03:03
