                                         KPOP_MUSIC_PLATFORM
                                    REPLAY FEE PER MINUTE : 0.85
==========================================================================================
ARTISTAS: 
------------------------------------------------------------------------------------------
No.           CODE         RATING          REPLAYS          REVENUE
01)          A1023          4.85         2730000          2320500.00
02)          A2045          4.35         1752000          1489200.00
03)          A3310          4.60         3360000          2856000.00
04)          A4411          4.10         2290000          1946500.00
05)          A5599          3.90         1400000          1190000.00
06)          A6600          4.20         2780000          2363000.00
07)          A7707          4.05         1440000          1224000.00
------------------------------------------------------------------------------------------
CANCIONES: 
No.            DATE           CODE         DURATION      N PLAYS          TOTAL
01)         02/01/2024        55001        00:03:45       1450000         90625:00:00
02)         02/01/2024        90311        00:03:12       850000          45333:20:00
03)         05/01/2024        92110        00:02:54       430000          20783:20:00
04)         02/01/2024        66721        00:02:59       987000          49075:50:00
05)         02/01/2024        77821        00:04:05       765000          52062:30:00
06)         03/01/2024        88001        00:03:31       1250000         73263:53:20
07)         03/01/2024        88002        00:03:12       990000          52800:00:00
08)         03/01/2024        88003        00:03:01       1120000         56311:60:40
09)         04/01/2024        77001        00:03:14       880000          47422:13:20
10)         04/01/2024        77002        00:03:09       770000          40425:00:00
11)         04/01/2024        77003        00:03:32       640000          37688:53:20
12)         06/01/2024        99001        00:03:04       720000          36800:00:00
13)         06/01/2024        99002        00:03:04       680000          34755:33:20
14)         07/01/2024        77010        00:03:13       510000          27341:40:00
15)         07/01/2024        77011        00:03:20       950000          52777:46:40
16)         07/01/2024        77012        00:03:18       620000          34100:00:00
17)         07/01/2024        77013        00:03:03       700000          35583:20:00
18)         08/01/2024        65001        00:03:04       830000          42422:13:20
19)         08/01/2024        65002        00:03:03       610000          31008:20:00
==========================================================================================
