M1001 4791.53     Conducir con presencia de alcohol en la sangre o bajo los efectos de estupefacientes y que haya participado en un accidente de tránsito.
M1002       2310.06  Conducir con presencia de alcohol en la sangre, narcóticos y/o alucinógenos por negarse al mismo.
M1003     2439.00    Conducir un vehículo automotor sin tener licencia de conducir o permiso provisional.
M1004  4337.78       Conducir vehículos estando la licencia de conducir retenida, suspendida o estando inhabilitado para obtener licencia de conducir.
M1005  2651.23  Conducir un vehículo con Licencia de Conducir cuya clase o categoría no corresponde al vehículo que conduce.
M1006  1221.06       Estacionar en las curvas, puentes, túneles, pasos a desnivel en cambios de rasante, pendientes y cruces de ferrocarril.
M1007  1150.20    Participar en competencias de velocidad en eventos no autorizados.
M1008       1159.22       Permitir a un menor de edad la conducción de un vehículo automotor, sin autorización o permiso provisional.
M1009    1316.30  Conducir un vehículo con cualquiera de sus sistemas de dirección, frenos, suspensión o luces en mal estado, previa inspección técnica vehicular.
M1010  588.93    Abastecer de combustible un vehículo del servicio de transporte público de pasajeros con personas a bordo del vehículo.
M1011     567.15  Conducir vehículos sin parachoque.
M1012     631.29     No detenerse al aproximarse a un vehículo de transporte escolar debidamente identificado que está recogiendo o dejando escolares.
M1013  650.26  Conducir un vehículo con neumático(s), cuya banda de rodadura presente desgaste inferior al establecido en el Reglamento Nacional de Vehículos.
M1014     538.95  No detenerse al llegar a un cruce ferroviario a nivel o reiniciar la marcha sin haber comprobado que no se aproxima tren o vehículo ferroviario
M1015  570.44    Circular produciendo contaminación en un índice superior a los límites máximos permisibles de emisión de gases contaminantes.
M1016  663.26       Circular en sentido contrario al tránsito autorizado
M1017       556.26    Cruzar una intersección o girar, estando el semáforo con luz roja y no existiendo la indicación en contrario
M1018  606.11    Desobedecer las indicaciones sobre el tránsito que ordene el efectivo de la Policía Nacional del Perú asignado al control del tránsito.
M1019     523.54     Conducir vehículos sin cumplir con las restricciones que consigna la Licencia de Conducir.
M1020       801.96  Superar el límite máximo de velocidad establecido hasta en 10 km/h adicionales
M1021    1183.65  Superar el límite máximo de velocidad establecido establecido en más de 10 km/h hasta en 30 km/h adicionales
M1022  2379.44       Superar el límite máximo de velocidad establecido establecido en más de 30 km/h adicionales
M1023    988.72  No respetar el límite mínimo de velocidad establecido
M1024       587.10    Estacionar interrumpiendo totalmente el tránsito
M1025    631.82    Detenerse para cargar o descargar mercancías en la calzada y/o en los lugares que interrumpan la circulación.
M1026    637.20    Estacionar o detener el vehículo en el carril de circulación, en carreteras o caminos donde existe berma lateral.
M1027     646.55  Circular sin placas de rodaje o sin el permiso correspondiente
M1028    585.46  No dar preferencia de paso a los vehículos de emergencia y vehículos oficiales cuando hagan uso de sus señales audibles y visibles
M1029  586.45     Conducir un vehículo especial que no se ajuste a las exigencias reglamentarias sin la autorización correspondiente.
M1030       2799.88       Conducir un vehículo que no cuente con el certificado de aprobación de inspección técnica vehicular.
M1031  567.23     Conducir un vehículo sin contar con la póliza del Seguro Obligatorio de Accidentes de Tránsito.
M1032       592.92    Deteriorar intencionalmente, adulterar, destruir o sustraer las Placas de exhibición, rotativa o transitoria .
M1033       624.62  Usar las placas de exhibición, rotativa o transitoria fuera del plazo, horario o ruta establecida o cuando esta ha caducado o ha sido invalidada.
M1034  652.49     Utilizar las placas de exhibición, rotativa o transitoria en vehículos a los que no se encuentren asignadas.
M1035     628.40  Circular, conducir u operar máquinas amarillas o verdes por las vías públicas terrestres.
M1036  640.08       Circular produciendo ruidos que superen los límites máximos permisibles.
M1037    628.38  Voltear en U sobre la misma calzada, en las curvas, puentes, pasos a desnivel, vías expresas, túneles, cima de cuesta, cruce ferroviario a nivel.
M1038  525.79     Transportar carga sin los dispositivos de sujeción o seguridad establecidos.
M1039  540.32       Conducir y ocasionar un accidente de tránsito con daños personales inobservando las normas de tránsito dispuestas en el presente Reglamento.
M1040       554.21  Conducir un vehículo para el servicio de transporte público y ocasionar un accidente de tránsito con daños personales.
M1041  617.43    Conducir y ocasionar un accidente de tránsito con lesiones graves o muerte inobservando las normas de tránsito dispuestas en el presente Reglamento.
M1042     602.86       Conducir un vehiculo con la licencia de conducir vencida
M1043       6436.95     Circular, interrumpir y/o impedir el tránsito, en situaciones de desastre natural o emergencia.
